,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
7203,1033,8.3,285445.0,Chłopcy z ferajny,1990,6,2014-03-02,schmeichel97,3
7204,74,7.7,258561.0,Joe Black,1998,7,2013-08-06,natalkaa75,9
7205,465857,7.6,79958.0,"Millennium: Mężczyźni, którzy nienawidzą kobiet",2009,9,2013-08-06,natalkaa75,9
7206,37309,7.7,710482.0,Piraci z Karaibów: Klątwa Czarnej Perły,2003,8,2013-08-06,natalkaa75,9
7207,138713,6.6,129997.0,Spider-Man 3,2007,6,2020-04-14,Filmography,8
7208,135596,6.8,66282.0,Hellboy: Złota armia,2008,6,2020-04-14,Filmography,8
7209,133925,6.6,148713.0,Shrek Forever,2010,6,2020-04-14,Filmography,8
7210,792556,6.8,43394.0,John Wick 3,2019,7,2019-06-30,Fifilifion10,5
7211,741135,6.7,90791.0,John Wick 2,2017,7,2019-06-30,Fifilifion10,5
7212,10701,7.4,200844.0,Inni,2001,10,2014-08-21,werksson,7
7213,654406,6.7,162988.0,Spectre,2015,7,2019-01-29,s_pagowski,8
7214,683,7.1,163497.0,Notting Hill,1999,7,2019-01-29,s_pagowski,8
7215,9308,7.9,57690.0,Rzymskie wakacje,1953,8,2019-01-29,s_pagowski,8
7216,628262,7.8,150957.0,Wyścig,2013,8,2017-02-05,rafal09,9
7217,682011,6.8,90429.0,Kamienie na szaniec,2014,7,2017-02-05,rafal09,9
7218,179,8.1,627661.0,Szeregowiec Ryan,1998,8,2017-02-05,rafal09,9
7219,502006,7.6,625.0,Chemia,2009,8,2018-05-05,Zohelka,12
7220,259282,6.6,56520.0,Życie od kuchni,2007,7,2019-09-18,MuFaBu,2
7221,804561,7.3,137789.0,Pewnego razu... w Hollywood,2019,7,2019-09-12,MuFaBu,2
7222,896,7.8,325116.0,Miś,1980,9,2015-11-27,piotrek_cyran,9
7223,657859,7.8,173462.0,Witaj w klubie,2013,9,2015-11-27,piotrek_cyran,9
7224,1319,7.7,168143.0,Imię róży,1986,9,2015-11-27,piotrek_cyran,9
7225,31279,7.8,51739.0,Obywatel Kane,1941,6,2017-08-27,dano999,4
7226,1248,7.2,11802.0,Glengarry Glen Ross,1992,9,2017-08-25,dano999,4
7227,829366,6.4,802.0,Synowie Danii,2019,8,2019-08-09,Reckless17,2
7228,7851,6.5,50790.0,Mortal Kombat,1995,0,2019-08-09,Reckless17,2
7229,824648,6.5,349.0,Dzieci umarłych,2019,9,2019-08-01,Reckless17,2
7230,648179,5.9,95047.0,Don Jon,2013,7,2016-11-02,DOMINIKA12345_filmweb,2
7231,9445,6.8,24022.0,Igraszki losu,2001,7,2016-10-27,DOMINIKA12345_filmweb,2
7232,34199,7.3,60776.0,Marzyciele,2003,9,2016-10-20,DOMINIKA12345_filmweb,2
7233,386028,6.7,168654.0,Wanted - Ścigani,2008,7,2016-12-01,Naxori,11
7234,451244,7.4,259806.0,Skyfall,2012,7,2016-12-01,Naxori,11
7235,536768,7.2,116399.0,Tożsamość,2011,6,2016-12-01,Naxori,11
7236,112,6.8,151120.0,Masz wiadomość,1998,6,2015-02-21,gabrysia_21,10
7237,702,8.3,575212.0,Siedem,1995,9,2015-01-26,gabrysia_21,10
7238,651932,7.6,249468.0,Kraina lodu,2013,8,2013-12-06,mauget,11
7239,564225,7.4,206869.0,"Kocha, lubi, szanuje",2011,7,2013-12-01,mauget,11
7240,258739,7.1,71594.0,Krudowie,2013,7,2013-10-27,mauget,11
7241,118497,7.5,216041.0,Gnijąca panna młoda,2005,6,2013-02-15,MartynaRajca,11
7242,1315,7.5,119460.0,Egzorcysta,1973,7,2013-02-15,MartynaRajca,11
7243,30701,8.7,206216.0,Dwunastu gniewnych ludzi,1957,8,2014-03-02,schmeichel97,3
7244,9190,7.7,186190.0,Rocky,1976,9,2014-03-01,schmeichel97,3
7245,702,8.3,575212.0,Siedem,1995,9,2013-08-05,natalkaa75,9
7246,554812,6.8,134213.0,Żona na niby,2011,7,2013-08-02,natalkaa75,9
7247,125973,6.6,199468.0,Shrek Trzeci,2007,6,2020-04-14,Filmography,8
7248,128907,6.3,26959.0,Dżungla,2006,6,2020-04-14,Filmography,8
7249,834091,7.4,2838.0,Anima,2019,8,2019-06-28,Fifilifion10,5
7250,786080,7.0,16497.0,Winni,2018,7,2019-06-27,Fifilifion10,5
7251,634647,7.2,41554.0,Rocketman,2019,7,2019-06-27,Fifilifion10,5
7252,11726,7.4,264006.0,Dirty Dancing,1987,9,2014-08-21,werksson,7
7253,396969,7.5,300525.0,Harry Potter i Insygnia Śmierci: Część I,2010,9,2014-08-21,werksson,7
7254,746114,6.5,97338.0,Morderstwo w Orient Expressie,2017,5,2019-01-29,s_pagowski,8
7255,751987,7.1,158040.0,Planeta Singli,2016,6,2019-01-29,s_pagowski,8
7256,487211,7.3,707237.0,Kac Vegas,2009,8,2017-02-05,rafal09,9
7257,607382,6.6,15810.0,Wada ukryta,2014,7,2017-02-05,rafal09,9
7258,646395,7.4,150460.0,Ona,2013,8,2017-02-05,rafal09,9
7259,525620,7.2,102229.0,W ciemności,2011,8,2018-04-29,Zohelka,12
7260,93632,7.6,4912.0,Żyć własnym życiem,1962,7,2018-04-28,Zohelka,12
7261,1116,6.7,3547.0,Pokolenie,1954,5,2018-04-28,Zohelka,12
7262,106112,7.2,195593.0,Epoka lodowcowa 2: Odwilż,2006,6,2016-09-30,penelope_aldaya,9
7263,258739,7.1,71594.0,Krudowie,2013,7,2019-09-09,MuFaBu,2
7264,632733,7.5,35977.0,Toy Story 4,2019,7,2019-08-25,MuFaBu,2
7265,820788,7.0,9875.0,"Fyre: Najlepsza impreza, która nigdy się nie zdarzyła",2019,5,2019-08-16,MuFaBu,2
7266,31413,7.8,594207.0,Dzień świra,2002,10,2015-11-27,piotrek_cyran,9
7267,694378,8.0,325463.0,Bogowie,2014,10,2015-11-27,piotrek_cyran,9
7268,1090,8.5,263591.0,Ojciec chrzestny II,1974,9,2015-11-27,piotrek_cyran,9
7269,569106,7.1,35.0,Leśne marzenia,2009,8,2019-08-01,Reckless17,2
7270,829443,7.0,6137.0,Matthias i Maxime,2019,6,2019-07-31,Reckless17,2
7271,139494,5.8,29.0,Zimowe dziecko,1989,4,2019-07-31,Reckless17,2
7272,322573,7.1,71456.0,Zgon na pogrzebie,2007,8,2016-10-20,DOMINIKA12345_filmweb,2
7273,723705,7.5,166104.0,Zanim się pojawiłeś,2016,8,2016-10-12,DOMINIKA12345_filmweb,2
7274,690291,6.9,70935.0,Alicja po drugiej stronie lustra,2016,5,2016-10-01,DOMINIKA12345_filmweb,2
7275,527134,6.7,50252.0,Pakt z diabłem,2015,6,2016-12-01,Naxori,11
7276,282892,7.2,143535.0,Życie Pi,2012,7,2016-12-01,Naxori,11
7277,5311,6.6,28567.0,Dzika rzeka,1994,7,2015-01-26,gabrysia_21,10
7278,306287,7.8,8405.0,Ekspres - bohater futbolu,2008,8,2015-01-24,gabrysia_21,10
7279,439584,7.8,194448.0,Lektor,2008,9,2013-10-19,mauget,11
7280,111405,7.5,32055.0,Przed zachodem słońca,2004,8,2013-10-05,mauget,11
7281,506934,7.3,226417.0,Wielki Gatsby,2013,7,2013-09-28,mauget,11
7282,124098,7.6,207592.0,Wesele,2004,8,2013-02-15,MartynaRajca,11
7283,7803,6.0,27333.0,Moja macocha jest kosmitką,1988,7,2013-02-15,MartynaRajca,11
7284,1272,7.4,105526.0,Szklana pułapka 3,1995,8,2014-03-01,schmeichel97,3
7285,311443,6.7,147150.0,Niezniszczalni,2010,6,2014-03-01,schmeichel97,3
7286,32225,8.3,576285.0,Pianista,2002,8,2014-03-01,schmeichel97,3
7287,261979,7.2,183661.0,Holiday,2006,7,2013-08-02,natalkaa75,9
7288,192901,7.4,162470.0,P.S. Kocham cię,2007,9,2013-08-01,natalkaa75,9
7289,613510,6.9,232350.0,Listy do M.,2011,8,2013-08-01,natalkaa75,9
7290,818368,7.3,5243.0,Królowa Kier,2019,7,2019-06-27,Fifilifion10,5
7291,811309,7.7,633.0,Quincy,2018,8,2019-06-16,Fifilifion10,5
7292,607536,6.9,8034.0,Take Shelter,2011,8,2019-06-02,Fifilifion10,5
7293,556864,7.6,263883.0,Sherlock Holmes: Gra cieni,2011,9,2014-08-21,werksson,7
7294,30588,7.5,280032.0,Szybcy i wściekli,2001,8,2014-08-21,werksson,7
7295,103997,7.1,219895.0,Skarb narodów,2004,8,2014-08-21,werksson,7
7296,587358,6.7,204993.0,To tylko seks,2011,7,2019-01-29,s_pagowski,8
7297,1270,7.5,211476.0,Szklana pułapka,1988,7,2019-01-29,s_pagowski,8
7298,696433,6.9,158639.0,Iluzja 2,2016,6,2019-01-29,s_pagowski,8
7299,30673,7.9,12007.0,Nakarmić kruki,1976,8,2018-04-28,Zohelka,12
7300,8423,7.4,6611.0,Ostatni dzień lata,1958,5,2018-04-28,Zohelka,12
7301,433359,7.0,133966.0,Epoka lodowcowa 3: Era dinozaurów,2009,4,2016-09-30,penelope_aldaya,9
7302,100562,6.8,148970.0,Bridget Jones: W pogoni za rozumem,2004,6,2016-09-30,penelope_aldaya,9
7303,809630,8.2,175240.0,Green Book,2018,9,2019-08-16,MuFaBu,2
7304,810192,6.3,22460.0,Kurier,2019,5,2019-08-15,MuFaBu,2
7305,11841,8.4,498420.0,Władca Pierścieni: Powrót króla,2003,10,2015-11-27,piotrek_cyran,9
7306,31451,8.3,479696.0,Władca Pierścieni: Dwie wieże,2002,10,2015-11-27,piotrek_cyran,9
7307,1065,8.0,697763.0,Władca Pierścieni: Drużyna Pierścienia,2001,10,2015-11-27,piotrek_cyran,9
7308,835783,6.1,67.0,Du,2019,7,2019-07-30,Reckless17,2
7309,789068,7.2,906.0,Bacurau,2019,7,2019-07-30,Reckless17,2
7310,139492,6.7,56.0,"Koniec sierpnia, początek września",1998,7,2019-07-29,Reckless17,2
7311,714192,7.6,199329.0,Nienawistna ósemka,2015,9,2016-09-19,DOMINIKA12345_filmweb,2
7312,644737,5.5,53270.0,To już jest koniec,2013,7,2016-09-02,DOMINIKA12345_filmweb,2
7313,1034,7.7,35505.0,Chłopięcy świat,1993,8,2016-09-01,DOMINIKA12345_filmweb,2
7314,694958,6.6,118835.0,Zbuntowana,2015,6,2016-12-01,Naxori,11
7315,272987,6.8,193425.0,Jumper,2008,7,2016-12-01,Naxori,11
7316,257691,7.0,148045.0,Ant-Man,2015,6,2016-12-01,Naxori,11
7317,836,7.6,502251.0,American Beauty,1999,8,2015-01-24,gabrysia_21,10
7318,501766,5.8,57339.0,Seks w wielkim mieście 2,2010,6,2015-01-24,gabrysia_21,10
7319,122832,7.6,207923.0,Zaplątani,2010,8,2015-01-23,gabrysia_21,10
7320,563139,7.2,158449.0,I że cię nie opuszczę,2012,5,2013-09-27,mauget,11
7321,107310,6.3,111286.0,Wredne dziewczyny,2004,4,2013-09-27,mauget,11
7322,644432,7.6,183967.0,Czas na miłość,2013,8,2013-09-26,mauget,11
7323,1195,7.7,21115.0,Wodzirej,1977,8,2013-02-15,MartynaRajca,11
7324,609699,6.5,261209.0,Ted,2012,4,2013-02-15,MartynaRajca,11
7325,173500,7.7,174914.0,Wyznania gejszy,2005,8,2013-02-15,MartynaRajca,11
7326,208,8.4,270273.0,Życie jest piękne,1997,9,2014-03-01,schmeichel97,3
7327,992,7.6,250774.0,Terminator 2: Dzień sądu,1991,8,2014-03-01,schmeichel97,3
7328,6878,8.2,551131.0,Król Lew,1994,10,2013-08-01,natalkaa75,9
7329,107535,7.5,382379.0,Madagaskar,2005,6,2013-08-01,natalkaa75,9
7330,776170,6.8,31153.0,Tully,2018,8,2019-05-20,Fifilifion10,5
7331,796158,6.7,37879.0,"Podły, okrutny, zły",2019,6,2019-05-16,Fifilifion10,5
7332,399328,7.6,281317.0,WALL·E,2008,7,2014-08-21,werksson,7
7333,112761,7.0,270801.0,"Opowieści z Narnii: Lew, czarownica i stara szafa",2005,9,2014-08-21,werksson,7
7334,661817,7.8,243229.0,Grand Budapest Hotel,2014,6,2019-10-09,pmarcinkowski,1
7335,484295,6.6,184142.0,Turysta,2010,6,2019-01-29,s_pagowski,8
7336,544545,6.7,187136.0,Jesteś Bogiem,2012,7,2019-01-29,s_pagowski,8
7337,103997,7.1,219895.0,Skarb narodów,2004,7,2019-01-29,s_pagowski,8
7338,702,8.3,575212.0,Siedem,1995,7,2014-02-22,Koscik97,4
