,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
169,Gwiezdne wojny: Część VI - Powrót Jedi,1983,"8,1",279 326,12 lutego 2016,9,547,greyshh
170,Gwiezdne wojny: Część V - Imperium kontratakuje,1980,"8,1",286 589,12 lutego 2016,8,525,greyshh
171,Gwiezdne wojny: Część IV - Nowa nadzieja,1977,"7,9",310 128,12 lutego 2016,7,759,greyshh
172,Love Story,1970,"7,2",22 625,7 lutego 2016,8,1297,greyshh
173,Stuart Malutki,1999,"6,1",58 100,7 lutego 2016,7,860,greyshh
174,Harry Potter i Kamień Filozoficzny,2001,"7,5",405 698,7 lutego 2016,8,30571,greyshh
175,E=mc²,2002,"6,3",119 389,7 lutego 2016,7,5333,greyshh
176,Soul Kitchen,2009,"6,7",9 134,28 stycznia 2016,7,501862,greyshh
177,Gran Torino,2008,"8,2",408 657,25 stycznia 2016,8,476580,greyshh
178,Straight Outta Compton,2015,"7,7",51 687,23 stycznia 2016,7,652435,greyshh
179,"Co nas kręci, co nas podnieca",2009,"7,0",90 904,23 stycznia 2016,8,480036,greyshh
180,Ojciec chrzestny,1972,"8,6",513 211,22 stycznia 2016,8,1089,greyshh
181,Lejdis,2008,"5,9",298 793,22 stycznia 2016,4,439908,greyshh
182,Jak zostać królem,2010,"7,8",313 759,22 stycznia 2016,8,539270,greyshh
183,W głowie się nie mieści,2015,"7,7",204 676,21 stycznia 2016,9,682170,greyshh
184,Młodzi gniewni,1995,"7,4",159 008,21 stycznia 2016,8,7961,greyshh
185,Brooklyn,2015,"7,0",58 465,17 stycznia 2016,6,653727,greyshh
186,Avatar,2009,"7,4",758 992,16 stycznia 2016,7,299113,greyshh
187,Amelia,2001,"7,6",256 855,16 stycznia 2016,8,31416,greyshh
188,Matrix,1999,"7,5",798 259,16 stycznia 2016,8,628,greyshh
189,Sin City - Miasto grzechu,2005,"7,4",260 656,16 stycznia 2016,8,112584,greyshh
190,Skazany na bluesa,2005,"7,5",224 938,16 stycznia 2016,7,99027,greyshh
191,Seksmisja,1983,"7,8",639 494,16 stycznia 2016,8,1163,greyshh
192,Życie Pi,2012,"7,2",143 275,16 stycznia 2016,8,282892,greyshh
193,Ukryte pragnienia,1996,"7,2",30 269,16 stycznia 2016,6,11316,greyshh
194,Zjawa,2015,"7,2",240 129,11 stycznia 2016,8,586583,greyshh
195,Geograf przepił globus,2013,"7,3",7 676,9 stycznia 2016,7,695399,greyshh
196,Moje córki krowy,2015,"6,8",64 181,8 stycznia 2016,7,722780,greyshh
197,Szybcy i martwi,1995,"6,8",34 432,4 stycznia 2016,8,9987,greyshh
198,Spadkobiercy,2011,"6,7",80 932,29 grudnia 2015,7,537189,greyshh
199,Idealny facet dla mojej dziewczyny,2009,"4,3",42 414,28 grudnia 2015,5,478167,greyshh
200,Różowa Pantera,2006,"6,2",33 077,26 grudnia 2015,8,107986,greyshh
201,Złoty kompas,2007,"6,3",70 451,26 grudnia 2015,8,200968,greyshh
202,Złote czasy radia,1987,"7,4",8 430,20 grudnia 2015,7,12054,greyshh
203,Donnie Darko,2001,"7,7",199 707,13 grudnia 2015,,5158,greyshh
204,Annie Hall,1977,"7,8",58 724,7 grudnia 2015,8,935,greyshh
205,Kiedy Harry poznał Sally,1989,"7,3",40 678,6 grudnia 2015,7,1266,greyshh
206,Bridget Jones: W pogoni za rozumem,2004,"6,8",148 790,6 grudnia 2015,7,100562,greyshh
207,The Doors,1991,"7,6",31 883,6 grudnia 2015,7,1209,greyshh
208,Dwunastu gniewnych ludzi,1957,"8,7",205 456,5 grudnia 2015,,30701,greyshh
209,Troja,2004,"7,4",330 991,5 grudnia 2015,9,37311,greyshh
210,50 pierwszych randek,2004,"6,9",159 646,4 grudnia 2015,7,96849,greyshh
211,Dziewczyny z drużyny,2000,"6,1",27 822,4 grudnia 2015,6,1479,greyshh
212,Carte Blanche,2015,"7,3",63 006,4 grudnia 2015,7,702937,greyshh
213,Trainspotting,1996,"7,8",220 846,30 listopada 2015,7,989,greyshh
214,Demon,2015,"6,4",32 871,27 listopada 2015,6,724565,greyshh
215,Ugotowany,2015,"6,6",119 626,27 listopada 2015,7,695281,greyshh
216,Spectre,2015,"6,7",162 716,27 listopada 2015,6,654406,greyshh
